'companies then users can manage the user digital identities','improve the security of the IT services','end-users can have privacy and control over their digital identity','enabling organizations then users to manage identities where data protection improve systems security'
0.2685658633708954,0.2544598877429962,0.25209540128707886,0.28378915786743164
0.24397264420986176,0.17626948654651642,0.2603377103805542,0.2614152431488037
0.25493910908699036,0.1873546540737152,0.2754353880882263,0.2662048637866974
0.25493910908699036,0.1873546540737152,0.2754353880882263,0.2662048637866974
0.25493910908699036,0.1873546540737152,0.2754353880882263,0.2662048637866974
0.25493910908699036,0.1873546540737152,0.2754353880882263,0.2662048637866974
0.25493910908699036,0.1873546540737152,0.2754353880882263,0.2662048637866974
0.2303529679775238,0.15974478423595428,0.2630235552787781,0.27156081795692444
0.2303529679775238,0.15974478423595428,0.2630235552787781,0.27156081795692444
0.20626428723335266,0.13025438785552979,0.22179317474365234,0.23340915143489838
0.20626428723335266,0.13025438785552979,0.22179317474365234,0.23340915143489838
0.20626428723335266,0.13025438785552979,0.22179317474365234,0.23340915143489838
0.20626428723335266,0.13025438785552979,0.22179317474365234,0.23340915143489838
0.20626428723335266,0.13025438785552979,0.22179317474365234,0.23340915143489838
0.20626428723335266,0.13025438785552979,0.22179317474365234,0.23340915143489838
