'companies then users can manage the user digital identities','improve the security of the IT services','end-users can have privacy and control over their digital identity','enabling organizations then users to manage identities where data protection improve systems security'
0.17483946681022644,0.11221195757389069,0.16959774494171143,0.14994341135025024
0.2593875825405121,0.1457866132259369,0.3270758390426636,0.3317587375640869
0.26500484347343445,0.15283425152301788,0.3428630828857422,0.3402005434036255
0.26500484347343445,0.15283425152301788,0.3428630828857422,0.3402005434036255
0.26500484347343445,0.15283425152301788,0.3428630828857422,0.3402005434036255
0.26500484347343445,0.15283425152301788,0.3428630828857422,0.3402005434036255
0.26500484347343445,0.15283425152301788,0.3428630828857422,0.3402005434036255
0.257352739572525,0.12789683043956757,0.3150971531867981,0.32812631130218506
0.257352739572525,0.12789683043956757,0.3150971531867981,0.32812631130218506
0.2437496781349182,0.10823541134595871,0.297274649143219,0.30766355991363525
0.2437496781349182,0.10823541134595871,0.297274649143219,0.30766355991363525
0.2437496781349182,0.10823541134595871,0.297274649143219,0.30766355991363525
0.2437496781349182,0.10823541134595871,0.297274649143219,0.30766355991363525
