'companies then users can manage the user digital identities','improve the security of the IT services','end-users can have privacy and control over their digital identity','enabling organizations then users to manage identities where data protection improve systems security'
0.30930280685424805,0.2537612020969391,0.3413752317428589,0.3046616315841675
0.23848897218704224,0.17700247466564178,0.26056569814682007,0.2465384304523468
0.24938566982746124,0.19053424894809723,0.28312957286834717,0.2654963731765747
0.24938566982746124,0.19053424894809723,0.28312957286834717,0.2654963731765747
0.24938566982746124,0.19053424894809723,0.28312957286834717,0.2654963731765747
0.24938566982746124,0.19053424894809723,0.28312957286834717,0.2654963731765747
0.24938566982746124,0.19053424894809723,0.28312957286834717,0.2654963731765747
0.2067103385925293,0.13063502311706543,0.24296315014362335,0.23781414330005646
0.2067103385925293,0.13063502311706543,0.24296315014362335,0.23781414330005646
0.19324897229671478,0.11011084914207458,0.2196027636528015,0.20982734858989716
0.19324897229671478,0.11011084914207458,0.2196027636528015,0.20982734858989716
0.19324897229671478,0.11011084914207458,0.2196027636528015,0.20982734858989716
0.19324897229671478,0.11011084914207458,0.2196027636528015,0.20982734858989716
